ID ctx-lh-caudalanteriorcingulate ctx-lh-caudalmiddlefrontal ctx-lh-cuneus ctx-lh-entorhinal ctx-lh-fusiform ctx-lh-inferiorparietal ctx-lh-inferiortemporal ctx-lh-isthmuscingulate ctx-lh-lateraloccipital ctx-lh-lateralorbitofrontal ctx-lh-lingual ctx-lh-medialorbitofrontal ctx-lh-middletemporal ctx-lh-parahippocampal ctx-lh-paracentral ctx-lh-parsopercularis ctx-lh-parsorbitalis ctx-lh-parstriangularis ctx-lh-pericalcarine ctx-lh-postcentral ctx-lh-posteriorcingulate ctx-lh-precentral ctx-lh-precuneus ctx-lh-rostralanteriorcingulate ctx-lh-rostralmiddlefrontal ctx-lh-superiorfrontal ctx-lh-superiorparietal ctx-lh-superiortemporal ctx-lh-supramarginal ctx-lh-transversetemporal ctx-lh-insula Left-Thalamus-Proper Left-Caudate Left-Putamen Left-Pallidum Left-Hippocampus Left-Amygdala Left-Accumbens-area Right-Thalamus-Proper Right-Caudate Right-Putamen Right-Pallidum Right-Hippocampus Right-Amygdala Right-Accumbens-area ctx-rh-caudalanteriorcingulate ctx-rh-caudalmiddlefrontal ctx-rh-cuneus ctx-rh-entorhinal ctx-rh-fusiform ctx-rh-inferiorparietal ctx-rh-inferiortemporal ctx-rh-isthmuscingulate ctx-rh-lateraloccipital ctx-rh-lateralorbitofrontal ctx-rh-lingual ctx-rh-medialorbitofrontal ctx-rh-middletemporal ctx-rh-parahippocampal ctx-rh-paracentral ctx-rh-parsopercularis ctx-rh-parsorbitalis ctx-rh-parstriangularis ctx-rh-pericalcarine ctx-rh-postcentral ctx-rh-posteriorcingulate ctx-rh-precentral ctx-rh-precuneus ctx-rh-rostralanteriorcingulate ctx-rh-rostralmiddlefrontal ctx-rh-superiorfrontal ctx-rh-superiorparietal ctx-rh-superiortemporal ctx-rh-supramarginal ctx-rh-transversetemporal ctx-rh-insula 
sub-0001 3891.6913346924985287 6902.6567403205504334 4363.1760194440086337 3168.1265954212242815 13066.1875104825724795 15418.9416314957243043 13393.7372141783542541 3582.8147360681466811 13038.1791505970651916 10117.4647991791315579 8839.9436379084282162 5338.0435889034902144 17064.4690976788020871 3144.0077078682210766 5204.2233162178016309 5140.4254271161144275 2766.6644796425209284 5163.7663442235982208 1903.8322005739614735 10808.3529972708142792 4428.5302171751846601 15451.6185449725069457 12059.4195103226435789 4336.7232266327686816 12832.7790748846345461 25605.6504730357270871 11936.4915426357426665 18250.1825253322875912 11155.3522918535220461 1236.2850138037456033 7092.4952158876965671 7966.2190553606614621 4027.0682867852866788 5174.6579061475840328 1868.0432275241976734 3999.8371542704969434 907.9576192652328467 424.8028019099706176 8141.2757535965158417 4585.6914084879374088 4640.1536735175168796 1706.9914515461086109 4378.7365072564609147 844.9374194866962534 333.7736161788135136 2519.2518633420391651 6673.9161167586663663 4656.4921302559082003 3175.9066539386450502 12285.8251147738782961 16011.7990876374787295 14498.5344716581881045 3326.8437230662747377 12716.0755986408870666 10156.3662056186480041 9045.3429720656373745 5695.1587026694895871 17110.3711105993572879 3488.6738387479135835 4304.0459408587949247 5706.8286058166055543 2448.4511415740683736 4265.9225048647978901 2338.7493856637722514 11784.7768753597846829 3974.9406700887458143 14827.6408547610694457 11815.1195128007198335 2106.1194751581894731 13059.9622759646171875 30051.2956327647991332 13614.6966653704049498 16859.8481032251427121 11324.1837555714211337 1070.5653330951999886 6945.4483606477924498 
sub-0002 3537.1632885143073948 7052.5911923168621751 5559.8608781644892481 3485.3811779457137376 13823.2570537701981126 16451.3577456333428373 11896.4524983807708540 4414.9015939596230043 14820.5424130341887376 9718.4091863447411355 10525.8252839735910582 5214.0078737432172648 16487.7977871090376083 2773.8568959377521968 5423.6932759240096689 3914.3414993699325186 2523.8967734472515316 5023.5005917077931467 3034.0462327695927135 10207.4617395941693688 5324.6034321481481436 14348.7496484953211169 13940.8857774026718750 5628.9036926721495978 12021.7521029811043626 26735.5337900229654084 11116.5258607937712252 17488.2766033798966584 12065.2240910444758044 1035.6415208925227181 7272.5050471890780477 8193.0754910890759437 4030.6914377649276300 5262.5931747967039914 1625.7015626190889851 3934.7987081641395885 1131.5343266583023979 627.1384856761090656 8113.1646801898759437 5102.1326173695144957 4953.1792966226206992 1557.2979896487911046 4418.0977954034032488 969.7952124886091661 430.2387245881328202 2634.4930922534923731 7083.9154847713156560 6016.9495952593478187 3375.4242505096058013 12265.3205867311737624 15636.2689365796210086 14253.4970744117952042 3912.4237785036643719 13333.5655648919803836 9300.9564075093910272 10525.8252839735910582 5513.1929945659105353 17044.6152836085471999 3408.0276328615044864 5378.3032623344035272 4830.4363472687384127 2492.5718716728649443 4611.8015835425741646 2637.0503580684831219 10461.8963905273726794 4919.9366752305723855 13683.8935559945112624 14326.3747200834523206 2594.8574599025568843 11935.4482811230171875 31676.5669143365009127 12101.6629138803043626 18979.0895013259679919 11300.0002835102254332 1004.3166203667425511 7638.1760201158010520 
sub-0003 4649.8461605096648874 8612.6217858623275686 6273.8899529501280862 2896.4706748453069876 14028.3490503993468556 19464.2841202851176760 12416.4294914878302536 4063.1423892508255370 15311.5527436377635352 10518.9038783356739260 11123.1222159294968556 6000.4090979064963186 19015.6665941821125194 3132.2301212420168802 7076.8195581230192676 6758.8805032834922360 2862.7908922599640722 6503.5871220762291408 3262.2343996394015334 13077.2286560295155862 5054.6787153304309524 18175.0162223868416214 14879.1030031989104102 6189.0167844812719138 14016.2232104934208010 31304.7863303354103908 13524.4971543757916408 21430.5151162419781444 14637.9545093608719138 1715.6537546895408838 9181.1390463216114842 9357.6221770395453416 4457.8704000304857078 5521.4814694995312888 1854.4149952421462474 3871.1669497839174366 1020.5007738869306418 683.0281855021892566 9078.0784013851385158 4068.5311156798830616 5784.8581001987041796 1813.9989017106125000 4247.7078064238559524 884.4339761441097794 563.8014007472655684 2687.6553447435394604 8140.4296645552516110 6961.6343586453286232 2563.0399532813478714 13236.8714132785593362 18340.7231842957447464 14534.2206345951187112 4043.6074914034590968 16813.0009959256354490 10190.8618845163963962 11227.5293192089062306 5951.2376485967213186 16476.8757499832000000 2588.6366468809165308 6415.3458783873453222 6962.9808183038890916 2749.6263453069273680 5270.2290723293049948 2907.9220008728684912 13004.4800421018770898 4345.3800459435424754 17437.4277808927520704 14838.0128773074187306 2540.8110138895357790 12553.1695966817509964 36292.7771039474562888 12925.6685075634635352 19762.0134437022666990 13018.6255701800197852 1442.1730601520446558 9942.3046524335645316 
sub-0004 3758.1883816975966496 8996.1020496756089296 3952.4352932032154032 2438.9600501113501136 11714.0575266303620528 15039.5039807415892888 12570.5436319496098240 3578.1912404048212024 13715.0255931143312536 9944.8365212521446408 9381.5961476470062536 5777.1551616949906232 15865.9892527223446408 2439.7101604450738856 5057.1669539390082552 5314.4127581852482112 2620.4572333640133944 6147.6492004122611584 2627.9570842835170784 12422.0464738822321408 4559.1752679529832552 17147.7190430764955352 12257.7996808848669648 5542.4090889148214296 14665.2592131129562464 27825.2940379250732112 12595.2938745892276760 18162.4532046788508944 12027.5531978616821408 1652.9728671597869392 7176.6324173972209824 6335.1456565018611584 3629.9404453875587024 4204.4308627008841496 760.4875477380925184 3289.4458103483029032 842.2362457526246096 438.7428087913435264 6269.8976851778026760 3602.9407667493841496 3957.6851720014832552 1055.2326959356307496 3779.9381815375033504 776.2372705570438032 340.4944328946390776 3024.7003338901189736 8358.6130985015977640 4504.4263364655895088 2852.2032222244069208 10932.5710042163254472 14810.7580758009714296 14301.5156298117044648 3731.1887030594220968 11814.5562100911808064 10370.8304953283312464 9377.0965593548379472 6395.8954691942290176 16937.7224966408892888 2459.9597410823491056 4561.4250613666593768 7715.1232631929803592 2720.2054505408050184 6236.8978387000767888 2585.2077721801710960 10877.0717851524642816 4396.4279793280107184 14185.2673128857142816 13025.7867221273437464 2706.7054317817500000 15018.5044699429660704 32495.4652406351267888 12390.5472069518892816 18016.2061974402687536 13442.0305128180392888 1217.2299621158433064 7649.1250028276383944 
sub-0005 4039.8176095593285840 8474.4096817931720234 4969.5614877023792656 3411.3860011201657734 13743.1914693851210312 16862.3321806452205860 13885.4787243886211796 4914.4608458971622636 12664.8840916759042656 10153.2496304581216524 10637.3030099026740820 5027.4528647887519844 20501.7955189435281250 3359.7721995393784356 5764.6912188233983124 4878.8887004322638028 2734.1306615910492442 6055.5416409979034960 3096.8214796386252968 13093.8358321297565468 4971.6537912741336934 18527.9212071131618046 13985.2174943170751484 4774.9636613844957344 14513.9093356423008438 30219.1177341279718750 14324.1938820247301094 22009.0533075259529766 13858.2757904861899296 1404.0320135942359444 7348.6741054698846718 8441.6279378519929804 4551.7696954544251622 5022.5701583310028886 1814.1515288486241562 4313.9282763037046504 1133.4087674035461274 604.7171345064337126 8454.1837522912105898 4944.4521869523466386 4823.7880586270468008 1876.9247800425680986 4833.5521392373502968 973.6853209937571158 537.0613852828539550 3202.8388222581477930 8347.4679779622868046 5177.4112334027543536 3188.1917027949341524 13300.2910411774563984 17729.3033061870688984 14940.0713380004805546 4247.6670215022673730 14962.3905682596795624 10031.8874014563063242 9957.9547020114810274 5592.4132889173111368 18311.0041505360792656 3122.6285473077371152 5631.4722746066392618 6293.3830601486240078 2343.5404723026069454 6107.1551115458050352 2888.2743007766073164 13022.6915398376843750 4924.2249278697410098 16670.5254220036538204 13504.6522846775965782 3018.7035082599690468 12753.4639119462184532 35180.3086793249644844 14177.7226860303184532 20788.4613353367997032 14700.8350511641990078 1323.1239717247460752 7941.5339008393100704 
sub-0006 3142.6409345617697124 6125.6405090669718750 4534.0627582798040874 3560.4908308879926204 12848.7283809594213102 16038.5360152555363704 12863.2413891698211690 3831.3978167772901308 12657.0374137639308264 9783.4894840406867940 8227.5884391366652014 5855.9434210244870058 17503.7316239734742940 3046.4935528612438206 5396.9740075812285486 3981.3643179323387448 2271.8690967701227668 4610.8598458183695972 1742.7540056992984152 12618.3368278021367940 4671.3302334562880388 13095.4460588394937500 12121.2706234215822384 4338.1388776972368906 12702.3907076253634884 25093.9633691939002824 12777.9787630365634884 18323.7090869276301204 13103.3075118681000000 1223.9188665431299476 7167.5436995853221574 6937.7570953514439618 3504.8580173810959572 4073.2790744252491788 1270.4809067145935958 4500.1994570885072124 1114.4674378957677588 408.7791938545918410 6639.0334145292368646 4075.6980055804906956 4215.9887832956366082 1629.6745417244638860 5037.1758559171438206 903.4262497642455726 362.8217435632713102 2421.8353097457101256 7655.5391294493803322 6061.5418699669851516 3182.5514183703763860 12284.5399467607568148 16098.4011646095238704 15765.8141814149565324 3331.9132587814799346 15291.7291186357086690 9964.2948299494619352 9236.2321234882165428 5529.4036216282928322 18737.9301542517988704 2857.8261775649399190 4633.8389678013207714 4578.2058661149628530 2605.6651120920556146 3899.7290799038289462 2150.9284667650798770 10577.4639449332436088 4179.7068403096228374 12317.1945040041494352 11647.1832540255809676 2279.1254567855920686 11422.2333582032774190 26605.1154916199096574 13762.4342944588615116 16717.6186149284603634 10865.3020044687353634 1167.6813934733515848 7459.0108774833926910 
sub-0007 4917.9181051275415687 8930.4063923778354270 5762.9342772805129177 3791.4844005626154806 14834.8131907595984014 18997.9518026982874639 15077.2306167123908777 3836.6029222632325598 14992.3465944371172958 11287.2755466323026145 10304.6090862730533055 6606.4211189509570493 20455.5106476283077042 3053.5293618799494740 6896.2499690168114841 7091.2537842338501083 3416.7715282214874639 6847.3077566727610458 2405.8108184492499175 13213.6065387060623917 6022.1739711168000000 18348.7048413714437139 14390.5110557297407694 6104.7639991618774907 13916.3851600794047597 36172.8107865175125000 14225.3317300074111541 20622.2185734653391708 14902.8738518400314305 1867.4475864312041873 8218.4517896029244895 9656.8914554287367729 5099.1564912405634437 5400.4564117431232209 1595.2071272385692296 4441.4967560049534705 1052.2555408294212665 802.9565847452451913 9282.9428838917570493 5329.3374541347510726 5327.0434584109602465 1905.6835757983705497 4787.1505314732719833 978.0775578188793678 659.1891568274160195 3335.7111950960525062 9759.3638685772298319 6215.6484573449061417 3451.9483099679264181 14327.8034142816735819 20047.9138944595908777 16256.4294953905701320 3071.8824179944325598 14905.9339705535471277 12135.3500153132130827 11147.3312627022338284 7984.4467731217829208 20499.8634092827204930 3376.2413624055673525 7487.3787380916309612 8645.1655337595626444 3419.8301876929471638 6243.1785881723037438 2281.1614778178774907 13396.3749841758421153 5409.6334864560377372 17650.5149388263188944 14623.7510425325034138 2839.4072771578964470 15049.6997570107626444 37585.2467335143424041 14808.0480896105797236 21883.2428134537375722 15271.4679445025893152 1535.5588756297871081 8943.4067932970679868 
sub-0008 4071.3560712570908736 6256.9153337194162224 4496.4223102154820960 3912.8218597622797272 13276.7338111672506768 15720.5165882792597928 12763.7469875981243232 3741.8260310585479800 14413.4735697443270304 9225.4539828635969544 9732.2096672332918992 5227.4798326085101416 16993.6376002689341160 3084.1510908574662120 3991.7430110556554040 4539.3444099159155352 1798.5686266183251744 4734.5699118306364848 1983.4102189138782096 11299.5535753845000000 4222.2753270884776968 14644.0058857771493232 11123.0204986070966160 5652.5464028379358080 12065.9175819767216160 26133.9386328019084392 12367.0655044070665608 18669.6712332969709392 11314.0928988310466160 1010.7429934938615720 7135.4305892422121616 6338.6054403206621616 3637.2903989813401968 4130.2006496781216264 1595.0356002943045632 4429.2698761141172376 1181.7386558860127616 575.9850418273431936 5939.1543433360452624 4144.7386520969104800 4644.5719509011831112 1585.3435982310697704 5266.9407395262324240 958.8213793484684064 397.3743399399140664 3070.3053272656449240 7459.4220589871989848 5305.0161776811695856 3353.4517437100087776 12735.3628903164797376 14834.3850574174084392 13907.4084732549341160 3554.9080535531266920 14331.7821434674500000 9525.2147882887445856 9866.5138742460793992 5527.2412978714733184 15812.5919241753047376 2911.7707858519260048 4232.6592367076456112 4731.8006266038584496 2013.8708663648449344 4864.7203559627108184 2343.4009052112611568 10027.8170410487608080 4045.7412592022243232 14347.0133744699297376 10893.1794302923918992 2918.0012638614151968 11099.4810820053750000 28221.1917500876652072 12281.9132152663861464 18148.3775451563604696 11087.0201259863966160 1056.4341296297655456 7473.2674926601125000 
sub-0009 3435.6965129776847878 6665.5157996988438356 5732.7639707707893652 2603.7828117783389096 12307.0450837598294276 13000.3062144053683158 10526.7731757962665790 3054.5529216658289506 13400.6569726263813356 8085.6515341882215264 8964.3832235491143652 4236.9993541481450954 15269.7634242057084210 2658.4034179429619588 4309.6267684589378700 2924.9041848367482846 2341.4837284481850370 5295.7985575726602434 1820.4870659700160164 10494.9616721330460066 3535.9344624972097236 12671.9826899413442698 11277.6560943852447040 4457.2823122618781892 12261.4280252762750856 26004.2163667085852434 9150.4536756023044276 18337.5214340944097236 10307.0909691513424474 1216.6592257588268652 5667.3389950815789506 5495.0740966764125856 2164.4168240760636818 2947.7127140785254556 1004.7792068791823248 3516.1268289905911234 783.2956754697185612 355.9343457164138240 5771.1783057614138026 2642.1971467689633470 3173.9983241381686858 1048.5957987291698852 3921.8806318633357846 716.6704828670394256 124.8471142075192852 2418.3128263226102648 7687.1010280680320756 7157.7011403121168848 2762.8426207883228504 11164.8143813712816842 14346.6150351242486974 12499.1184726302771710 2802.4576005855923618 21169.9920036766548618 8370.7592909542914506 9705.0639543006021710 4588.1316938976039292 17973.7836122439469606 2744.2356332606593964 4495.0967539146665148 4169.1739469766173832 2315.6740174275916784 4408.6640719995076596 2157.8144229864563142 10401.9255879754781250 3628.3692219263433372 12577.1457815956375856 12129.9781793877080724 2361.8913971421584852 11774.6445851401032106 28832.4831062274557302 10421.7335063534442698 17387.9628685672052960 10353.3067756257923618 1229.2639927506867524 5148.7434780225611974 
sub-0010 3286.5834018834951000 6785.1777128537863500 4183.6799591885326250 3482.7974419231068250 12589.2868071406559250 14852.3971079673886000 13546.2450405812113000 3696.4710561743599000 12543.5589002920057500 8839.6040949299273000 8125.4187639282255500 4765.6708721729366500 15851.7586336148050500 3096.1894153178672500 5240.4087078169960750 4911.1681055503616000 2482.6051604588054750 5079.9455609429784250 2778.5891229806099000 11614.0372531222965500 4795.6019083505511250 16007.2328774275835500 11920.8277948610574000 4564.4683252917968750 10526.5453224826423250 24179.2120886338954000 13603.6126614058206750 17591.9103269209042250 11284.7958567923886000 1318.6241253055683500 7424.5358504430886500 8650.8734078583230250 4502.1121992495107250 6021.9390695460744000 2086.0201217943610750 4518.7400238472868750 1158.1610774864784750 934.5104511760205750 8086.3424636814201750 5164.7501626342938000 5957.9198421196202250 1987.9132990724851250 5085.7654179309580250 1006.8435909013628250 772.3844529909312500 2368.7012689560382750 7185.0883550854463250 5225.4435867598255750 3042.1473996843247250 12079.6282398183206750 14918.9099928611888750 15144.2241135278233500 3313.1888328700427250 12703.1895067365872750 8713.2291376808980750 8232.6714450488590500 4997.6354107822826250 14972.1212510539952250 3265.7980259947826250 4995.1413554713741500 6114.2258355462639250 2868.3816355600354000 4051.4851449515238000 2515.0302503234771500 11647.2929023178488500 4019.8914052333036750 13817.2854815938002750 11646.4619467672571250 1803.3391727425394250 11498.4694694197904000 26848.8838442308593750 13194.5567534811185250 18513.1160806931698500 12384.7576645191715500 1276.2221224366196250 7672.2976543193301500 
